days_in_top50
86
185
164
11
88
472
157
164
442
38
503
154
371
125
304
140
144
603
400
144
197
486
12
177
4
140
74
113
263
3
46
300
472
11
603
25
403
9
2
182
27
7
1
1
1
5
389
6
353
388
136
337
354
9
5
8
7
7
7
7
8
7
7
9
12
12
15
9
18
34
25
102
27
4
17
371
371
370
1
367
368
1
1
421
14
6
2
4
13
418
2
411
411
18
3
6
1
394
404
404
39
1
1
400
1
34
398
1
399
22
399
397
397
393
398
398
398
115
16
463
1
7
2
1
63
1
8
35
59
1
1
1
1
5
379
2
374
9
13
371
370
369
3
3
368
2
2
2
1
2
2
72
531
44
30
188
316
368
66
1
1
1
1
1
70
30
2
1
2
3
3
37
2
4
5
7
5
15
11
125
28
30
2
1
57
4
76
1
16
17
2
10
2
101
6
96
50
6
1
1
2
5
151
1
65
8
1
1
5
5
5
5
5
5
5
4
3
4
4
4
8
4
2
3
3
2
3
5
3
1
1
1
6
23
42
105
15
1
1
1
1
1
41
1
8
1
1
319
93
208
8
124
1
1
1
7
189
43
7
7
5
13
9
13
12
10
11
1
27
1
13
1
12
138
4
21
1
1
137
1
236
4
5
5
3
4
7
5
6
14
28
7
28
14
89
6
357
4
2
1
1
2
1
1
2
14
1
1
211
100
58
172
8
4
4
7
3
3
6
6
6
3
10
10
5
21
14
10
6
2
4
2
2
2
2
4
225
3
3
4
3
432
6
7
4
1
432
7
1
1
1
1
1
1
9
34
1
2
2
1
1
169
7
1
1
1
1
1
1
1
48
301
1
25
11
1
15
15
9
13
28
15
22
33
18
42
126
28
1
1
49
28
125
1
43
11
8
1
1
7
7
7
13
23
24
149
30
21
3
6
39
14
72
15
388
13
402
303
98
54
3
176
12
21
14
20
378
14
390
266
98
27
4
86
226
9
35
376
42
232
253
14
113
21
8
27
1
8
5
5
7
2
1
47
8
3
28
7
7
9
216
191
22
1
113
6
18
2
10
21
40
2
2
2
9
5
114
3
2
2
8
2
2
2
3
2
2
3
2
2
2
5
2
109
2
2
8
4
4
8
4
22
6
11
6
7
4
2
2
2
45
17
91
313
8
30
316
9
48
21
64
25
2
71
7
13
1
2
2
178
9
1
22
62
1
4
7
6
5
5
3
203
7
10
299
4
4
1
1
2
3
2
2
40
13
14
93
9
16
135
22
67
292
23
1
2
280
221
22
1
7
18
273
1
8
28
21
1
266
266
261
5
2
2
6
1
1
1
1
208
3
253
30
2
13
16
6
1
1
2
82
10
8
209
48
235
8
16
3
2
93
4
23
192
10
12
25
12
10
166
26
25
29
9
3
21
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
3
1
7
55
144
52
39
5
1
1
1
1
1
1
1
1
200
1
1
1
161
3
109
3
12
12
3
82
17
199
16
1
10
22
27
22
22
170
13
18
18
146
15
13
8
13
1
1
6
2
62
55
1
1
11
1
20
4
1
2
2
2
1
1
1
8
4
35
30
118
3
5
104
2
11
1
1
2
1
1
1
17
9
28
26
36
137
81
2
43
20
5
5
8
4
131
14
3
7
105
2
1
1
1
2
1
32
10
48
1
2
24
33
3
2
2
4
2
2
2
2
117
3
3
75
10
7
1
7
1
1
1
1
1
42
13
11
11
24
84
6
7
5
2
1
8
5
1
